category,name,latitude,longitude,Zipcode
supermarket,Trader Joe's,33.6503583,-117.8375537,92612
supermarket,Albertsons,32.6264844,-117.075597,91910
supermarket,Albertsons,33.1318495,-117.05952,92027
supermarket,Ralphs,32.7942263,-117.254304,92109
supermarket,Minute Mart,32.757146,-117.086522,92105
supermarket,Smart & Final,32.7481139,-117.140395,92163
supermarket,Foodland Iga #3,32.720976,-117.085641,92105
supermarket,Vien Dong Iii,32.784503,-117.169782,92111
supermarket,Sin Lee Food Whole Sale Co.,32.755239,-117.094062,92115
supermarket,Seafood City,32.9137121,-117.131518,92126
supermarket,Albertsons,33.1400088,-117.1384078,92069
supermarket,Lucky Seafood,32.9189539,-117.12427,92126
supermarket,Carnival Supermarket,32.808766,-117.160587,92133
supermarket,Sprouts Farmers Market,33.244442,-117.291178,92057
supermarket,Northgate Supermarket,32.5759506,-117.070391,92154
supermarket,Wisteria Candy Cottage,32.668419,-116.288345,91905
supermarket,Vons,32.7653189,-117.0242861,91941
supermarket,Harvest International Market,32.812549,-117.2001002,92140
supermarket,Ralphs,33.1404803,-117.0428558,92027
supermarket,Harvest Ranch Market #4,32.959484,-117.264857,92014
supermarket,El Super,32.658835,-117.089328,91950
supermarket,Albertsons,32.7393034,-116.937744,92019
supermarket,El Tigre Foods Warehouse,33.368481,-117.249825,92028
supermarket,Pay-Low Super Market,32.698243,-117.027292,92114
supermarket,Albertsons,32.8089693,-116.920103,92021
supermarket,Albertsons,32.708019,-117.008632,91977
supermarket,Albertsons,33.1087912,-117.105855,92029
supermarket,Albertsons,32.7436452,-117.0452275,91945
supermarket,Alpine Ranch Market,32.8350132,-116.7544712,91901
supermarket,Food Giant,32.696312,-117.086173,91950
supermarket,Food 4 Less,32.750884,-117.068158,92115
supermarket,La Jolla Shores Market,32.853574,-117.254215,02037
supermarket,Stumps Apple Market #3,32.741212,-117.22919,92106
supermarket,Albertsons,33.0178029,-117.061518,92128
supermarket,Ralphs,32.769245,-117.054379,92115
supermarket,Salsa Market,32.781016,-116.967177,92020
supermarket,Garden Farms Market,32.64365,-117.083869,91950
supermarket,Smart & Final Extra!,32.8564347,-116.9721883,92071
supermarket,Harvest Ranch Market #2,33.0356349,-117.2381936,92024
supermarket,Hometown Iga #2,32.6401684,-117.0955849,91950
supermarket,Ralphs,32.676575,-117.038896,92139
mall,Cardiff-By-The-Sea Towne Centre Shopping Center,33.0222651,-117.2822594,92007
hotel,River Bend Lodge,33.8619634,-114.5282903,
hotel,Juniper Lodge,41.7601493,-122.061953,96058
hotel,Altadena Lodge,34.1725209,-118.0884025,91107
hotel,Elkhorn Lodge,34.494715,-118.3098011,
hotel,Laurel Springs Lodge,34.50694,-119.7959737,93111
hotel,Breckenridge Lodge,35.4660671,-118.6106436,
parking,Unnamed,39.428972,-120.1632856,
parking,Unnamed,37.0809689,-121.5307058,
parking,Unnamed,37.0885822,-121.5380877,
supermarket,99 Ranch Market,34.1880845,-118.465299,91411
supermarket,Pass Farmers Market,36.9709942,-121.4195769,
parking,Unnamed,39.7654474,-121.7836829,
parking,Unnamed,37.3881752,-122.1425831,94022
parking,Unnamed,37.6713733,-119.5850841,95389
parking,Unnamed,34.5350102,-119.7118417,
parking,Unnamed,37.2358365,-122.4159505,
parking,Powder Mill Trail Parking,37.0154003,-122.0347821,95041
parking,Unnamed,37.5799,-122.35082,94101
supermarket,CC Market,40.5069211,-124.1123834,95562
parking,Graham Hill Trail Parking,37.015558,-122.0348176,95041
parking,La Purisima Mission Parking Place,34.670317,-120.4210743,93436
parking,Skyline Wilderness Park,38.2789662,-122.2494087,94559
parking,Unnamed,37.9618386,-122.4187381,94801
parking,Unnamed,37.2274582,-121.7525424,95139
supermarket,Beach Market,36.9653543,-122.0178469,95061
parking,Unnamed,39.3652453,-120.923436,
parking,Unnamed,39.113748,-121.2708022,
supermarket,Trader Joe's,37.2930603,-121.9942009,95129
parking,Unnamed,39.2095494,-121.0571245,95945
parking,Unnamed,37.5454722,-122.5143497,94037
parking,Unnamed,41.6424971,-122.1676411,
supermarket,Live Oak Super,36.975642,-121.983443,95062
supermarket,Lucky,37.2501724,-121.829265,95123
supermarket,Ralphs,34.1770427,-119.2162359,93041
parking,Unnamed,34.0622688,-118.4629428,90073
parking,Unnamed,41.845177,-121.3912548,
supermarket,El Patio,36.9371467,-121.8627937,
parking,Pillar Point Bluff Trail (POST),37.5113424,-122.5012212,94038
parking,Unnamed,37.512845,-122.5102502,94038
parking,Unnamed,37.5463569,-122.5138605,94037
supermarket,Lion Market,37.3315271,-121.8538537,95122
supermarket,Sprouts,32.7987241,-117.2469667,92109
parking,Unnamed,39.7622731,-121.7909556,95928
supermarket,Sprouts Farmers Market,33.0749554,-117.2387789,92009
parking,Unnamed,37.4493646,-122.4232193,94019
supermarket,Safeway,36.9785814,-121.9086088,95003
parking,Unnamed,36.9611267,-121.8873743,95003
parking,Garnet Peak Trailhead,32.9116135,-116.4612146,
parking,Unnamed,37.0145813,-121.9052641,95003
supermarket,Ocean Beach People's Organic Food Market,32.7495327,-117.242901,92107
parking,Big Bald Rock,39.6460397,-121.3406835,95916
parking,Unnamed,39.7628262,-121.8050431,95928
parking,Unnamed,39.1156087,-121.9374322,95950
supermarket,Groceries for Less,34.0048356,-117.0610138,92320
supermarket,Mollie Stone's,37.7606657,-122.436559,94114
supermarket,Lazy Acres,34.4002857,-119.7216572,93109
supermarket,Vons,34.4025023,-119.723794,93109
parking,Unnamed,41.9459725,-121.5650319,
parking,Unnamed,41.8481518,-121.3895058,
parking,Yost Creek and Fern Lake Trailhead,37.7616982,-119.1132354,93529
parking,Unnamed,37.7731276,-119.1263481,93529
parking,Unnamed,37.7832882,-119.1277059,93529
parking,Unnamed,33.0394457,-116.5923346,92036
parking,Unnamed,37.2821752,-122.149718,
parking,Unnamed,37.3668893,-122.2474715,94020
parking,Unnamed,34.2293249,-119.2576176,93002
supermarket,Ralphs,33.819545,-117.9601612,92804
supermarket,Stater Bros.,33.8242583,-117.9579726,92804
parking,Unnamed,37.8233204,-122.2071845,94602
parking,Unnamed,37.8237204,-122.2070558,94602
supermarket,Save Mart,39.7566905,-121.864132,95973
parking,Unnamed,33.3348709,-116.9196785,
parking,Unnamed,39.7633125,-121.7921919,95928
parking,Unnamed,39.7713484,-121.7827925,
parking,Unnamed,37.2306587,-122.0952206,
parking,Park and Ride,34.1374831,-117.4723372,92220
supermarket,Scotts Valley Market,37.0607155,-122.0065764,95066
hotel,Unnamed,32.8011312,-117.258623,92109
hotel,Crystal Pier Hotel,32.7962129,-117.256704,92109
parking,Unnamed,-0.1891729,-78.4217418,170901
parking,Unnamed,38.0529346,-122.2267346,94525
supermarket,Trader Joe's,38.0091681,-121.3226915,95207
supermarket,Podesto's,38.0114821,-121.3216023,95210
parking,Unnamed,33.6586535,-117.9406737,92627
parking,Unnamed,33.6596036,-117.9403819,92627
parking,MPPC,37.4495974,-122.1881017,94025
parking,Unnamed,37.0531605,-122.0731142,95018
parking,Unnamed,37.0113417,-121.7081228,
parking,Unnamed,37.010747,-121.7150913,95976
supermarket,S & B Market,38.9702317,-123.6872112,95459
parking,Unnamed,34.1596368,-119.2248585,93035
parking,Unnamed,37.0128357,-121.7104754,95976
parking,Unnamed,37.5061184,-122.2779828,94070
parking,Unnamed,39.0890928,-122.7896322,95458
supermarket,Nob Hill Foods,37.5232544,-122.2518725,94065
parking,Unnamed,33.596719,-117.1636053,92563
parking,Unnamed,33.5974781,-117.1653439,95262
parking,Unnamed,33.5949258,-117.1663911,92563
parking,Unnamed,37.0162552,-122.0771746,95064
parking,Beach Access Parking,39.5020052,-123.78689,
supermarket,Food 4 Less,34.0651461,-117.224976,92403
supermarket,Nugget Markets,38.7897526,-121.279782,95678
supermarket,Stater Bros.,34.1341172,-117.5925666,91737
hotel,Marriott's Desert Springs Villas II,33.7490719,-116.359008,92260
supermarket,Bristol Markets,33.7569289,-116.3891806,92260
parking,Cahuilla Hills Park,33.7143113,-116.4004025,92260
supermarket,Albertsons,33.7426752,-116.3054403,92211
hotel,The Beach Cottages,32.79297,-117.255362,92109
hotel,Sheraton Carlsbad Resort and Spa,33.1323974,-117.3101821,92008
supermarket,Liva Food Distributor,32.568926,-117.06431,92173
hotel,Synergy at Mira Bella,32.806763,-117.149407,92123
hotel,"Red Roof Inn - Pacific Beach, San Diego",32.803812,-117.216901,92109
hotel,Escondido Lodge,33.088308,-117.071174,92025
hotel,Howard Johnson Inn And Suites San Diego Area/Chula Vista,32.6391969,-117.097032,91910
parking,Broadway Plaza Centre,32.807066,-116.957027,92022
supermarket,Ralphs,32.9810455,-117.075652,92128
hotel,The Pearl Hotel,32.725349,-117.228983,92106
supermarket,Grocery Outlet,33.147664,-117.198481,92078
supermarket,Unnamed,33.226474,-117.333352,92057
hotel,Sonesta ES Suites,32.990032,-117.075396,92128
hotel,Beachcomber Shores,32.8089152,-117.2571304,92109
parking,RV/Bus,33.744119,-116.538235,92264
supermarket,Smart & Final,32.9154869,-117.1220552,92126
hotel,The Seabird Resort,33.19387,-117.382584,92054
parking,Eishenhower Medical Center,33.7636165,-116.4036425,92276
hotel,Lakehouse Hotel and Golf Resort,33.1248362,-117.2079091,92078
supermarket,Food Bowl Market,32.7220617,-117.1289514,92102
supermarket,Trader Joe's,32.982014,-117.074986,92128
supermarket,Sprouts Farmers Market,32.8374079,-116.9934841,92071
supermarket,Raley's,38.0665187,-122.167967,94510
parking,Earl Carmichael Park Parking,37.3453886,-121.989946,95051
parking,Homestead Shopping Center,37.3383873,-121.9943503,95051
parking,Unnamed,39.0972058,-121.6021727,95991
parking,Unnamed,39.1295246,-121.6005071,95991
parking,Unnamed,39.1301263,-121.6008021,95991
parking,Unnamed,33.7186189,-118.2830418,90733
parking,Unnamed,37.7103216,-122.3885667,94134
parking,Unnamed,34.1808969,-118.2754919,91201
parking,Unnamed,34.3253023,-118.4151221,91340
parking,Unnamed,34.3247126,-118.4158194,91340
parking,Unnamed,34.3250848,-118.4146151,91340
parking,Walker Ranch Trailhead,34.3780534,-118.4425578,91387
supermarket,Ralphs,34.2232947,-118.236819,91214
supermarket,Lotte Market,34.21619,-118.2239344,91020
supermarket,Ralphs,34.1489747,-118.1313255,91101
parking,Caltrain Lawrence Station,37.3706818,-121.9950133,95051
supermarket,Trader Joe's,34.9380455,-120.4209,93454
parking,Unnamed,32.9845871,-116.6770703,
parking,Unnamed,33.0023563,-116.7152899,
hotel,Wyndham Oceanside Pier Resort,33.195074,-117.38377,92054
parking,Unnamed,34.1899742,-119.2327807,93035
parking,Unnamed,37.4951508,-122.3681706,
parking,Dough Flat Trailhead,34.5223401,-118.8955026,
supermarket,Ralphs,34.4359096,-119.803846,93111
parking,Unnamed,34.1543934,-118.9503391,91320
parking,Marshal South Home Trailhead,33.0034487,-116.3898438,
parking,Unnamed,38.1088497,-121.2870752,95241
parking,Unnamed,38.1044427,-121.2809131,95240
parking,Salas Park,38.1062513,-121.2701183,95240
supermarket,S-MART Foods,38.1140855,-121.2811715,95240
parking,Downtown Parking Garage,38.1347341,-121.2718026,94240
parking,Unnamed,38.1147826,-121.2775697,95240
parking,Unnamed,38.1146982,-121.2806113,95240
parking,Unnamed,38.1145884,-121.2840231,95240
parking,Unnamed,38.1146053,-121.2870755,95240
parking,Unnamed,38.1072104,-121.2809278,95240
parking,Unnamed,38.1087427,-121.2784602,95240
supermarket,Star Grocery,37.8547256,-122.2482299,94168
parking,Unnamed,34.4232241,-119.8644116,93106
parking,Unnamed,34.4225426,-119.861944,93106
parking,Unnamed,37.847152,-122.4791697,94965
parking,Unnamed,37.845695,-122.4778765,94965
supermarket,Trader Joe's,34.4389102,-119.728945,93105
parking,Unnamed,32.9629141,-117.2553835,92014
parking,Unnamed,32.9677599,-117.259958,92014
parking,Unnamed,32.8155965,-116.8724797,92021
supermarket,Ralphs,33.6474401,-117.687623,92630
parking,Unnamed,37.3294477,-121.8849695,95113
parking,Franklin Point Trailhead,37.1559569,-122.354455,
parking,Unnamed,37.0051976,-121.7093229,
parking,Unnamed,37.0480218,-121.6563194,
parking,Unnamed,37.0593926,-121.66759,95037
supermarket,Unnamed,34.226259,-118.9868467,93012
supermarket,Safeway,38.0547702,-122.15572,94510
parking,Hidden Valley Trail Head,33.5271353,-117.2840934,92562
supermarket,Foodmaxx,38.649725,-121.326109,95608
hotel,Stanford Inn by the Sea,39.2998045,-123.7908591,95460
parking,Unnamed,37.0168375,-121.6441121,
hotel,Shorebreak Hotel,33.6581642,-118.0026273,92648
supermarket,Westlake IGA Market,38.5545359,-121.7870207,95616
parking,Unnamed,38.5546744,-121.7651364,95616
hotel,The Ranch at Laguna Beach,33.5129223,-117.748146,92651
parking,Unnamed,38.5558765,-121.7306847,95617
parking,Unnamed,38.5531078,-121.7303843,95616
parking,Unnamed,38.5605197,-121.7465376,95616
hotel,Quality Inn & Suites,33.4581738,-117.67164,92624
parking,Unnamed,38.5554158,-121.7492135,95616
parking,Unnamed,34.0172475,-118.2823788,90089
parking,Parking Center,34.0199998,-118.277186,90089
parking,West Campus Cottages Parking,34.4105683,-119.8768389,93106
supermarket,Twain Harte Market,38.0399728,-120.2248706,95383
supermarket,Siêu Thi Thuân Phát El Monte Superstore,34.059963,-118.063463,91733
parking,Redwood Regional Park - Moon Gate,37.8215585,-122.1868728,94516
supermarket,El C Lollo Meat Market,34.0769216,-118.275498,90029
parking,Unnamed,35.3618299,-119.0416775,93304
parking,Folsom Public Garage,38.6767036,-121.1801526,95671
supermarket,Bel Air Supermarket,38.4866182,-121.5351981,95831
supermarket,Nugget Markets,38.4946211,-121.5211208,95831
supermarket,Trader Joe's,37.9377015,-122.0256327,94518
supermarket,Windmill Farms,32.7839251,-117.0596437,92120
supermarket,Albertsons,33.5624303,-117.6461601,92694
parking,Unnamed,33.6191875,-115.9994328,92254
parking,Unnamed,33.1226708,-117.0762474,92025
parking,Unnamed,34.2253425,-118.8758162,91360
parking,Unnamed,34.2004802,-118.8531789,91360
parking,Unnamed,34.200486,-118.849095,91362
parking,Unnamed,34.1988,-118.8537084,91360
parking,Unnamed,34.1995276,-118.855264,91360
parking,Unnamed,34.19943,-118.8542555,91360
parking,Unnamed,34.1980013,-118.8558756,91360
supermarket,Whole Foods Market,34.1878067,-118.8734441,91360
parking,Unnamed,34.2211899,-118.8769564,91360
supermarket,Del Mar Foods,34.0620933,-118.0986244,91770
parking,Unnamed,33.6864555,-117.3685381,92530
parking,Unnamed,33.5987896,-117.7478041,92637
supermarket,Albertsons,33.5282882,-117.717662,92677
hotel,Residence Inn,33.4871804,-117.67385,92675
parking,Mira Loma Kingdom Hall,33.9865839,-117.5100128,91752
parking,Unnamed,37.9490152,-121.974935,94521
parking,Unnamed,37.005983,-121.9071991,95003
supermarket,Stater Bros.,35.6350987,-117.6679394,93555
supermarket,Trader Joe's,33.8111592,-117.5062534,92883
supermarket,Hollister Super Mercado,36.8535456,-121.4205793,95023
parking,Lot C,37.6525286,-122.0532083,94542
parking,Unnamed,37.8275646,-122.5169758,94965
supermarket,Ralphs,34.2605131,-118.326723,91040
supermarket,Super A Foods,34.1012115,-118.0750065,91778
parking,Unnamed,34.2400042,-119.265626,93002
parking,Unnamed,37.545881,-122.5141972,94037
parking,Post Office Parking,37.5421917,-122.5147474,94037
parking,Unnamed,37.5057639,-122.4814901,94018
hotel,Unnamed,37.5037255,-122.4845693,94019
supermarket,Food 4 Less,34.0018252,-118.0883925,90660
supermarket,Cactus Corner Grocery,36.9712258,-121.8196011,95019
parking,Unnamed,37.190865,-121.9921771,95032
parking,Unnamed,33.1982155,-117.3794312,92054
parking,Unnamed,37.9338864,-119.1799055,
supermarket,Gualala Supermarket,38.7675963,-123.5282011,95445
hotel,Residence Inn Oxnard River Ridge,34.2298749,-119.200262,93036
parking,Unnamed,37.0324901,-121.0661529,
parking,Unnamed,39.3333915,-120.2907651,95161
parking,Unnamed,38.5553957,-121.710089,95618
parking,Unnamed,37.9795125,-122.2697164,94564
parking,Unnamed,39.7378357,-122.1718106,95963
parking,Unnamed,33.4832657,-117.0712353,92592
supermarket,Food 4 Less,33.927576,-117.453369,92505
supermarket,Walmart Supercenter,33.9371231,-117.4553945,92503
parking,Staff Parking,33.9129753,-117.1946953,92555
parking,Visitor Parking,33.9109987,-117.1947382,92555
parking,Unnamed,37.0205468,-121.7870384,95976
parking,Marciel Gate,37.7589226,-122.1049557,
supermarket,Trader Joe's,34.0691676,-118.3443578,90036
supermarket,Stater Bros.,34.0353277,-117.0526065,92399
supermarket,Stater Bros.,33.9160206,-117.487558,92505
supermarket,Stater Bros.,33.8971255,-117.4730212,92503
supermarket,Ralphs,33.8954112,-117.4715996,92503
supermarket,Albertsons,33.9098993,-117.436339,92503
supermarket,Stater Bros.,33.944865,-117.436334,92504
supermarket,Food 4 Less,33.9738463,-117.3469037,92521
parking,Sprig parking,37.0041637,-121.6819281,95004
supermarket,Jons,33.8576789,-118.36263,90503
supermarket,Stater Bros.,33.2203403,-117.2434166,92084
parking,Handicapped parking,38.0400521,-122.8019641,94956
hotel,Unnamed,33.1459151,-117.2422697,92081
hotel,TownePlace San Diego Carlsbad Vista,33.1467523,-117.2421452,92081
parking,Unnamed,34.265986,-117.6271741,91759
parking,Unnamed,32.9598228,-116.5803456,
parking,Unnamed,37.5668625,-122.0740896,94555
parking,Unnamed,34.1068035,-118.4151417,90210
supermarket,Buy Low Market,34.0618345,-118.0524514,91733
supermarket,Food Mart,38.0860538,-120.5658153,95222
supermarket,Colusa Market,37.8992663,-122.286681,94707
parking,Unnamed,33.1396985,-117.071509,92027
parking,Unnamed,33.1381668,-117.0717819,92027
parking,East Grove Parking Lot,33.1749349,-117.335692,92008
parking,Batiquitos Trail Parking,33.0930727,-117.2910388,92011
parking,Batiquitos Trail Parking,33.0941041,-117.2798781,92011
parking,Unnamed,37.9274472,-122.5798085,94957
parking,Unnamed,34.0108223,-116.1679482,
supermarket,Gelson's,34.0069262,-118.474835,90405
parking,Unnamed,36.771539,-121.4144736,
parking,Unnamed,34.0993248,-119.0792645,93042
supermarket,Stater Bros.,33.8917222,-117.209334,92551
hotel,Unnamed,33.4617564,-117.6963287,92629
supermarket,Trader Joe's,38.5467537,-121.7614973,95616
supermarket,Nugget Markets,37.919027,-122.5075218,94925
supermarket,Albertsons,33.8435355,-117.574217,92882
parking,Unnamed,33.3291056,-117.1622499,
supermarket,Major Marketplace,33.2954356,-117.221637,92003
parking,Pena Adobe Park,38.3373802,-122.0151082,95696
parking,Unnamed,38.2509331,-120.2594259,
parking,Unnamed,38.2468173,-120.264963,
parking,Unnamed,38.2613672,-120.2769407,95223
parking,Unnamed,38.496359,-119.796285,
parking,Unnamed,33.1339933,-117.0743511,92025
parking,Unnamed,33.1344158,-117.0734672,92025
supermarket,Smart & Final,34.0879126,-118.309646,90004
parking,Unnamed,37.3007008,-121.1040576,
parking,Unnamed,33.1227315,-117.0801651,92025
parking,Unnamed,32.8697974,-116.414545,91948
parking,Unnamed,32.8894885,-116.4410011,91948
parking,Unnamed,32.8891308,-116.4410288,91948
supermarket,Honeybaked,34.1380702,-118.1011844,91107
supermarket,Kachy Produce,37.022562,-121.5769649,95020
parking,Unnamed,37.0820402,-121.8508143,95033
supermarket,FoodMaxx,37.6322694,-122.0964258,94545
parking,Unnamed,34.1230143,-118.1039403,91108
supermarket,Lucky,37.9904425,-122.3024404,94803
supermarket,Grocery Outlet,37.9902136,-122.308104,94803
parking,Unnamed,37.0303035,-122.0590342,95041
parking,Unnamed,33.4857642,-117.0344996,92592
supermarket,Sprouts Farmers Market,34.1356634,-118.216452,90041
parking,Unnamed,33.1158255,-117.1054361,92029
parking,Unnamed,33.1178306,-117.1083167,92029
parking,Unnamed,33.1171602,-117.1082937,92029
parking,Unnamed,34.5047913,-120.2260211,
parking,Unnamed,33.1138635,-117.1068848,92029
supermarket,FoodMaxx,37.2554708,-121.7982197,95138
parking,Unnamed,34.1586845,-118.3299075,91506
parking,Unnamed,34.1592597,-118.3301019,91505
supermarket,India Supermarket,38.7507539,-121.310677,95678
supermarket,Smart & Final,34.2461924,-118.274765,91042
parking,Unnamed,38.9755381,-120.1001584,96142
parking,Unnamed,38.9832053,-120.1069673,96142
parking,Orchard Supply Hardware Park And Ride,37.680278,-121.048772,95350
hotel,Amerika's Best Value Inn,37.66666,-120.99405,95354
parking,Yosemite Creek Parking,37.8503,-119.57355,
hotel,Tioga Lodge,37.9899492,-119.1419348,93541
parking,Julia Pfeiffer Burns State Park,36.159998,-121.6685746,93920
parking,Unnamed,33.1107216,-117.0984209,92029
parking,Unnamed,33.1093533,-117.0977183,92029
parking,Unnamed,33.1087964,-117.0966519,92029
parking,Unnamed,33.1117894,-117.0987352,92029
parking,Unnamed,33.1143831,-117.0995453,92029
parking,Unnamed,33.1101703,-117.0975226,92029
parking,Unnamed,33.1132626,-117.100368,92029
supermarket,Old Town Market,34.8653609,-120.4431452,93455
supermarket,El Rancho Foods,37.0142606,-121.575073,95020
parking,Unnamed,33.8360337,-116.9880715,
parking,Unnamed,33.8311123,-116.9834889,
parking,Unnamed,33.836547,-116.9915896,
parking,Unnamed,33.8328283,-116.9866413,
parking,Unnamed,33.8344953,-116.9849665,
parking,Unnamed,33.8366759,-116.992675,
parking,Unnamed,33.833721,-116.9854576,
parking,Unnamed,33.832323,-116.9850104,
parking,Verdugo Park And Ride,34.2055473,-118.2192778,91011
